age;mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;game_score;player
31-324;28:03:00;9;14;.643;1;3;.333;2;3;.667;0;3;3;3;0;1;2;21;15.7;1
31-329;37:30:00;11;21;.524;2;3;.667;7;8;.875;1;9;10;13;3;0;3;31;32.8;1
31-331;29:03:00;6;13;.462;2;5;.400;5;5;1.000;0;5;5;11;1;0;4;19;18.1;1
31-333;41:30:00;9;19;.474;1;4;.250;7;9;.778;2;8;10;13;1;0;5;26;24.4;1
31-335;32:53:00;8;16;.500;3;8;.375;3;7;.429;0;4;4;4;0;0;7;22;8.2;1
31-337;33:37:00;5;14;.357;0;2;.000;6;11;.545;1;4;5;5;2;0;5;16;7.8;1
31-338;44:40:00;13;22;.591;1;3;.333;0;0;;0;5;5;13;0;0;8;27;18.6;1
31-341;42:01:00;12;26;.462;2;7;.286;8;9;.889;3;5;8;7;2;0;1;34;28.9;1
31-343;32:27:00;7;10;.700;1;2;.500;10;14;.714;2;4;6;7;1;2;4;25;24.3;1
31-345;37:19:00;12;22;.545;1;3;.333;2;4;.500;2;6;8;8;3;0;3;27;23.6;1
31-346;42:27:00;17;24;.708;5;10;.500;5;9;.556;1;8;9;10;3;1;5;44;40.0;1
31-349;36:29:00;9;17;.529;0;4;.000;5;8;.625;1;5;6;8;3;0;6;23;17.9;1
31-353;38:55:00;9;18;.500;2;5;.400;6;11;.545;1;6;7;9;2;2;2;26;24.8;1
31-356;47:29:00;12;25;.480;5;9;.556;5;6;.833;3;9;12;7;1;1;2;34;29.5;1
31-357;34:25:00;12;24;.500;4;7;.571;1;1;1.000;1;8;9;6;0;0;2;29;22.3;1
31-359;27:16:00;7;16;.438;0;3;.000;5;6;.833;1;3;4;6;3;0;1;19;18.0;1
31-361;40:11:00;12;22;.545;4;8;.500;3;7;.429;5;8;13;4;2;1;5;31;24.4;1
31-365;43:44:00;9;18;.500;2;6;.333;3;7;.429;2;6;8;11;1;3;8;23;17.6;1
32-001;35:47:00;12;25;.480;4;8;.500;4;6;.667;2;4;6;9;1;0;1;32;27.0;1
32-003;38:55:00;9;21;.429;0;4;.000;8;10;.800;2;5;7;6;2;1;4;26;19.5;1
32-005;36:53:00;12;21;.571;1;2;.500;6;9;.667;2;6;8;7;1;0;5;31;23.2;1
32-007;35:17:00;14;20;.700;0;1;.000;8;10;.800;0;9;9;6;3;0;5;36;30.9;1
32-009;39:31:00;11;17;.647;2;4;.500;4;6;.667;3;5;8;4;1;0;7;28;18.9;1
32-011;36:55:00;10;20;.500;3;6;.500;6;7;.857;1;5;6;5;4;0;4;29;24.3;1
32-012;30:31:00;5;12;.417;2;5;.400;8;9;.889;1;10;11;4;1;1;5;20;16.0;1
32-014;41:41:00;6;12;.500;1;4;.250;3;3;1.000;0;2;2;15;1;1;5;16;17.0;1
32-017;35:00:00;6;18;.333;1;4;.250;7;10;.700;2;6;8;2;1;0;6;20;7.8;1
32-020;39:08:00;8;12;.667;0;2;.000;5;8;.625;0;9;9;15;1;2;4;21;25.4;1
32-022;45:20:00;11;16;.688;2;5;.400;5;7;.714;0;6;6;7;2;0;7;29;21.1;1
32-024;43:43:00;11;21;.524;1;4;.250;3;4;.750;2;8;10;12;2;0;6;26;22.7;1
32-026;44:49:00;8;15;.533;0;3;.000;8;11;.727;4;9;13;11;2;1;5;24;25.2;1
32-028;34:14:00;13;18;.722;1;3;.333;4;7;.571;0;5;5;11;0;0;5;31;26.2;1
32-030;36:50:00;9;18;.500;0;2;.000;7;10;.700;1;13;14;8;1;0;2;25;23.6;1
32-031;37:17:00;9;19;.474;1;6;.167;4;8;.500;0;9;9;9;2;0;5;23;17.7;1
32-033;34:28:00;11;14;.786;1;2;.500;4;7;.571;0;8;8;12;2;1;2;27;31.5;1
32-036;39:35:00;12;20;.600;4;8;.500;4;5;.800;0;5;5;10;0;0;5;32;25.5;1
32-038;42:04:00;12;18;.667;6;8;.750;2;5;.400;0;7;7;17;2;2;6;32;32.0;1
32-040;38:16:00;9;16;.563;1;2;.500;6;8;.750;1;5;6;9;1;1;4;25;22.0;1
32-041;40:53:00;8;19;.421;1;4;.250;1;3;.333;1;4;5;7;2;2;3;18;13.9;1
32-043;33:09:00;11;16;.688;1;1;1.000;4;4;1.000;0;5;5;12;2;0;6;27;25.7;1
32-046;39:30:00;10;14;.714;2;3;.667;3;6;.500;1;7;8;14;0;0;6;25;23.4;1
32-047;32:35:00;12;17;.706;4;5;.800;3;4;.750;0;5;5;4;1;0;4;31;24.0;1
32-055;37:06:00;7;11;.636;0;2;.000;4;6;.667;0;13;13;15;0;3;6;18;22.4;1
32-059;37:11:00;8;12;.667;1;2;.500;7;9;.778;0;10;10;6;0;0;3;24;21.8;1
32-061;40:02:00;10;21;.476;3;6;.500;5;8;.625;5;8;13;10;1;1;4;28;25.5;1
32-063;39:10:00;14;27;.519;6;10;.600;4;8;.500;1;12;13;8;0;0;2;38;29.4;1
32-066;38:41:00;11;22;.500;2;5;.400;6;10;.600;3;14;17;6;1;1;3;30;25.8;1
32-069;39:05:00;12;22;.545;0;6;.000;5;8;.625;4;10;14;10;1;0;3;29;27.6;1
32-071;37:34:00;8;14;.571;2;5;.400;6;10;.600;0;12;12;12;0;1;4;24;23.3;1
32-072;40:10:00;12;20;.600;4;11;.364;2;3;.667;0;7;7;5;2;0;8;30;19.2;1
32-074;28:24:00;6;12;.500;0;2;.000;4;5;.800;0;11;11;12;0;0;2;16;19.3;1
32-076;38:15:00;13;20;.650;2;5;.400;5;10;.500;0;10;10;6;2;1;6;33;26.1;1
32-079;37:51:00;13;22;.591;3;8;.375;5;8;.625;0;6;6;7;1;0;3;34;26.5;1
32-082;34:10:00;8;12;.667;0;2;.000;2;4;.500;2;4;6;5;0;0;4;18;13.7;1
32-084;39:54:00;9;14;.643;0;1;.000;14;16;.875;0;9;9;11;1;2;4;32;33.0;1
32-085;40:35:00;10;21;.476;0;4;.000;4;6;.667;3;8;11;8;0;1;3;24;19.5;1
32-087;29:32:00;7;17;.412;0;3;.000;3;6;.500;3;5;8;8;0;0;2;17;12.7;1
32-090;39:07:00;11;20;.550;1;7;.143;3;7;.429;1;9;10;8;1;1;4;26;21.5;1
32-091;29:56:00;14;22;.636;3;7;.429;3;6;.500;2;7;9;6;0;0;2;34;27.9;1
32-093;51:39:00;16;29;.552;3;10;.300;6;12;.500;4;10;14;11;2;1;1;41;38.3;1
32-095;37:06:00;7;14;.500;0;3;.000;4;6;.667;1;10;11;11;2;1;6;18;17.5;1
32-096;38:33:00;14;22;.636;1;4;.250;7;7;1.000;2;8;10;6;1;2;3;36;32.4;1
32-098;41:25:00;12;15;.800;1;2;.500;2;6;.333;1;7;8;7;2;0;5;27;24.4;1
32-100;46:50:00;11;21;.524;1;3;.333;9;10;.900;3;13;16;10;1;0;3;32;29.9;1
32-291;41:12:00;12;19;.632;1;5;.200;4;4;1.000;1;15;16;9;0;2;4;29;28.2;1
32-294;37:25:00;10;16;.625;2;4;.500;2;2;1.000;1;4;5;8;1;1;5;24;20.6;1
32-295;31:12:00;8;15;.533;1;3;.333;5;6;.833;0;4;4;2;1;1;1;22;17.6;1
32-298;37:15:00;13;20;.650;4;6;.667;4;5;.800;0;2;2;13;3;0;2;34;35.1;1
32-299;41:22:00;12;20;.600;1;2;.500;4;8;.500;1;9;10;13;0;4;8;29;25.1;1
32-302;30:46:00;6;11;.545;1;3;.333;5;6;.833;0;3;3;8;0;0;4;18;13.6;1
32-303;39:28:00;7;15;.467;1;4;.250;1;1;1.000;1;9;10;7;2;0;4;16;13.8;1
32-306;37:28:00;14;22;.636;1;5;.200;4;5;.800;1;5;6;11;2;1;8;33;27.0;1
32-308;42:41:00;23;34;.676;2;4;.500;9;9;1.000;5;6;11;7;3;2;3;57;53.2;1
32-310;40:35:00;10;17;.588;0;3;.000;6;6;1.000;2;3;5;13;1;2;6;26;24.3;1
32-312;36:42:00;10;20;.500;2;4;.500;8;10;.800;1;7;8;9;3;0;1;30;29.9;1
32-314;40:01:00;15;24;.625;1;4;.250;2;3;.667;0;4;4;7;1;1;8;33;20.0;1
32-316;41:47:00;6;14;.429;1;3;.333;6;8;.750;1;10;11;4;0;1;6;19;10.8;1
32-318;36:16:00;7;14;.500;2;4;.500;7;10;.700;3;6;9;12;0;3;5;23;23.8;1
32-320;36:38:00;12;24;.500;4;7;.571;3;3;1.000;2;4;6;8;2;1;3;31;25.3;1
32-322;46:08:00;17;26;.654;4;9;.444;1;5;.200;1;13;14;6;0;0;6;39;28.8;1
32-325;27:16:00;7;14;.500;3;5;.600;1;1;1.000;0;2;2;8;1;1;0;18;18.1;1
32-327;33:26:00;11;17;.647;4;7;.571;7;9;.778;1;5;6;5;2;0;3;33;28.6;1
32-329;39:34:00;10;20;.500;3;8;.375;4;7;.571;1;15;16;13;0;3;3;27;28.4;1
32-332;31:03:00;12;23;.522;3;7;.429;3;4;.750;3;11;14;6;0;0;3;30;24.9;1
32-333;28:26:00;10;16;.625;1;3;.333;0;1;.000;2;10;12;6;5;1;2;21;25.3;1
32-335;37:34:00;8;11;.727;3;6;.500;5;7;.714;1;5;6;12;2;2;3;24;28.5;1
32-337;39:09:00;13;22;.591;0;3;.000;8;8;1.000;0;2;2;12;0;1;5;34;28.1;1
32-339;34:16:00;9;15;.600;2;4;.500;3;4;.750;0;7;7;6;2;0;2;23;21.6;1
32-341;41:03:00;12;18;.667;5;8;.625;3;6;.500;2;9;11;9;3;2;7;32;30.8;1
32-343;39:25:00;12;22;.545;1;5;.200;4;5;.800;2;8;10;8;1;2;3;29;26.4;1
32-344;38:44:00;9;23;.391;2;6;.333;10;12;.833;3;10;13;13;3;0;6;30;27.5;1
32-347;35:01:00;11;13;.846;2;3;.667;1;2;.500;0;7;7;17;2;0;2;25;32.3;1
32-349;38:43:00;8;18;.444;1;6;.167;8;12;.667;1;11;12;12;2;2;5;25;24.8;1
32-351;36:48:00;9;15;.600;1;4;.250;10;10;1.000;0;11;11;10;1;0;5;29;27.6;1
32-352;41:21:00;8;23;.348;2;7;.286;2;3;.667;2;9;11;15;0;1;6;20;14.4;1
32-354;34:14:00;14;22;.636;6;11;.545;5;5;1.000;0;1;1;7;3;2;7;39;31.4;1
32-356;39:06:00;12;23;.522;2;5;.400;8;8;1.000;1;5;6;9;3;0;4;34;29.8;1
32-360;40:03:00;7;18;.389;2;7;.286;4;7;.571;1;5;6;6;0;0;7;20;7.6;1
32-362;37:42:00;6;17;.353;0;2;.000;4;5;.800;2;8;10;14;5;0;4;16;19.9;1
33-000;37:27:00;12;22;.545;1;7;.143;4;5;.800;1;7;8;6;2;1;6;29;21.3;1
33-003;33:49:00;10;17;.588;0;2;.000;4;4;1.000;1;5;6;8;4;1;3;24;24.8;1
33-004;32:42:00;8;15;.533;0;2;.000;3;3;1.000;0;7;7;6;1;1;4;19;15.3;1
33-007;37:17:00;12;23;.522;4;7;.571;5;7;.714;3;7;10;9;6;1;3;33;34.7;1
33-009;26:35:00;4;8;.500;1;3;.333;1;3;.333;1;7;8;5;0;2;3;10;9.1;1
33-012;32:14:00;9;16;.563;0;1;.000;8;10;.800;0;3;3;1;1;2;2;26;19.2;1
33-013;40:27:00;11;25;.440;2;9;.222;3;4;.750;2;6;8;11;3;1;5;27;22.3;1
33-016;36:15:00;12;18;.667;0;2;.000;8;13;.615;2;6;8;6;3;4;8;32;26.2;1
33-019;34:47:00;7;16;.438;0;4;.000;2;8;.250;1;4;5;6;1;0;6;16;5.9;1
33-021;38:22:00;8;17;.471;0;4;.000;2;4;.500;0;3;3;7;0;1;2;18;12.2;1
33-024;37:57:00;10;23;.435;2;6;.333;6;10;.600;2;7;9;7;0;1;5;28;18.4;1
33-027;39:55:00;11;17;.647;0;2;.000;4;5;.800;0;10;10;11;4;1;11;26;22.5;1
33-029;37:48:00;8;15;.533;1;4;.250;8;9;.889;1;7;8;14;1;0;3;25;27.9;1
33-031;37:45:00;9;20;.450;2;7;.286;1;2;.500;0;6;6;7;0;1;4;21;12.8;1
33-032;38:17:00;8;21;.381;1;6;.167;7;11;.636;2;9;11;5;1;0;7;24;12.1;1
33-035;31:22:00;3;10;.300;1;2;.500;4;4;1.000;1;8;9;9;2;1;2;11;15.3;1
33-038;33:05:00;10;17;.588;2;4;.500;3;4;.750;1;9;10;5;1;0;6;25;17.0;1
33-039;48:19:00;16;22;.727;5;7;.714;0;2;.000;1;9;10;15;1;1;5;37;36.6;1
33-041;40:43:00;8;20;.400;0;3;.000;6;7;.857;2;10;12;19;0;0;3;22;24.7;1
33-043;27:54:00;9;20;.450;2;5;.400;4;7;.571;0;8;8;10;1;1;2;24;21.1;1
33-045;39:44:00;14;23;.609;3;7;.429;6;10;.600;0;8;8;8;0;1;5;37;28.2;1
33-054;36:36:00;13;18;.722;1;4;.250;5;9;.556;1;8;9;8;2;0;4;32;28.9;1
33-055;36:40:00;7;16;.438;0;2;.000;4;4;1.000;0;14;14;11;1;0;3;18;19.5;1
33-057;39:58:00;14;25;.560;2;5;.400;3;4;.750;2;11;13;9;1;0;6;33;25.5;1
33-059;38:46:00;13;25;.520;2;4;.500;3;3;1.000;4;8;12;11;1;0;1;31;31.2;1
33-061;39:02:00;12;24;.500;2;6;.333;4;6;.667;1;8;9;8;1;0;3;30;23.1;1
33-063;42:23:00;8;19;.421;1;4;.250;8;11;.727;1;9;10;15;2;0;3;25;25.8;1
33-065;28:44:00;11;17;.647;5;7;.714;4;6;.667;2;5;7;7;1;0;3;31;27.7;1
33-067;39:08:00;15;25;.600;5;8;.625;4;8;.500;1;7;8;10;1;0;3;39;32.9;1
33-069;38:53:00;11;20;.550;3;7;.429;0;2;.000;0;10;10;6;2;3;5;25;20.1;1
33-071;31:27:00;9;20;.450;2;8;.250;4;5;.800;2;8;10;7;1;1;2;24;21.6;1
33-073;33:13:00;7;14;.500;1;2;.500;13;15;.867;0;12;12;11;3;2;5;28;30.1;1
33-075;41:05:00;15;25;.600;1;4;.250;4;9;.444;0;14;14;6;2;3;6;35;26.4;1
33-077;39:53:00;15;26;.577;2;8;.250;1;4;.250;1;12;13;12;1;2;6;33;27.5;1
33-079;40:01:00;16;29;.552;3;7;.429;5;8;.625;5;7;12;10;2;1;6;40;33.4;1
33-081;39:24:00;11;19;.579;1;3;.333;12;14;.857;1;6;7;17;1;0;0;35;39.9;1
