age;mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;game_score;player
29-309;34:56:00;4;12;.333;2;4;.500;1;1;1.000;1;6;7;7;1;0;3;11;8.8;1
29-310;42:02:00;8;18;.444;3;5;.600;12;12;1.000;0;3;3;4;3;0;4;31;23.5;1
29-312;39:38:00;8;18;.444;1;5;.200;5;6;.833;0;7;7;11;1;1;3;22;20.3;1
29-315;40:26:00;9;17;.529;1;3;.333;13;17;.765;2;9;11;9;1;1;4;32;29.8;1
29-319;40:51:00;16;27;.593;3;8;.375;6;9;.667;0;4;4;7;0;1;3;41;29.5;1
29-320;28:54:00;13;20;.650;4;5;.800;2;4;.500;2;4;6;7;0;1;3;32;27.2;1
29-322;40:34:00;8;18;.444;1;4;.250;5;7;.714;0;9;9;5;0;2;4;22;14.6;1
29-324;34:06:00;6;17;.353;2;3;.667;1;1;1.000;3;3;6;9;1;1;5;15;10.3;1
29-326;39:02:00;8;21;.381;2;7;.286;4;7;.571;3;1;4;4;1;1;3;22;13.2;1
29-327;37:17:00;6;12;.500;1;4;.250;2;3;.667;0;1;1;10;1;1;5;15;11.8;1
29-329;31:00:00;9;17;.529;2;4;.500;9;11;.818;1;3;4;11;3;0;1;29;31.2;1
29-331;36:05:00;7;14;.500;1;5;.200;14;17;.824;1;9;10;8;3;0;4;29;27.6;1
29-334;31:44:00;9;18;.500;0;1;.000;1;2;.500;0;2;2;7;1;0;3;19;12.7;1
29-337;41:05:00;6;15;.400;0;4;.000;14;21;.667;1;4;5;10;0;0;7;26;16.6;1
29-339;39:31:00;7;17;.412;1;6;.167;4;7;.571;1;4;5;12;2;0;4;19;16.2;1
29-340;42:27:00;9;18;.500;2;4;.500;4;6;.667;0;7;7;13;3;1;4;24;24.3;1
29-343;33:54:00;8;17;.471;1;3;.333;1;2;.500;0;4;4;7;3;0;3;18;14.2;1
29-344;41:53:00;12;21;.571;2;5;.400;9;9;1.000;1;1;2;4;2;2;2;35;29.9;1
29-347;37:37:00;17;24;.708;2;2;1.000;5;8;.625;0;5;5;5;0;1;2;41;33.1;1
29-350;40:18:00;11;19;.579;2;3;.667;3;4;.750;0;7;7;14;1;3;5;27;26.9;1
29-352;29:02:00;8;16;.500;0;2;.000;5;7;.714;0;3;3;2;2;0;2;21;14.5;1
29-354;39:56:00;7;18;.389;2;4;.500;6;8;.750;1;3;4;9;2;0;4;22;15.7;1
29-356;37:33:00;9;15;.600;3;5;.600;4;6;.667;0;1;1;11;0;1;5;25;20.6;1
29-358;34:38:00;8;16;.500;4;7;.571;4;5;.800;0;4;4;3;1;3;2;24;18.8;1
29-360;40:02:00;9;16;.563;2;8;.250;10;18;.556;0;4;4;8;0;0;4;30;21.6;1
29-361;36:56:00;10;20;.500;0;5;.000;9;11;.818;0;5;5;8;2;2;4;29;24.3;1
29-363;31:51:00;5;19;.263;2;6;.333;5;5;1.000;1;9;10;7;1;0;7;17;6.8;1
30-014;36:41:00;11;18;.611;3;8;.375;8;13;.615;1;6;7;5;1;0;5;33;23.6;1
30-016;38:02:00;12;23;.522;4;9;.444;8;13;.615;1;3;4;5;2;0;1;36;28.0;1
30-017;42:29:00;11;23;.478;3;8;.375;7;12;.583;0;11;11;7;3;0;9;32;18.9;1
30-020;36:16:00;12;23;.522;0;3;.000;2;3;.667;1;4;5;4;0;0;6;26;11.4;1
30-022;35:45:00;8;16;.500;0;2;.000;10;14;.714;2;5;7;9;4;0;7;26;22.6;1
30-024;26:37:00;9;15;.600;2;4;.500;5;6;.833;1;5;6;9;4;1;2;25;28.5;1
30-026;38:35:00;11;25;.440;2;6;.333;10;13;.769;0;7;7;5;1;2;2;34;25.3;1
30-028;35:56:00;11;24;.458;0;4;.000;10;11;.909;0;6;6;7;1;0;4;32;21.7;1
30-031;33:04:00;7;16;.438;1;4;.250;4;6;.667;0;3;3;7;4;2;6;19;14.6;1
30-032;39:45:00;14;25;.560;3;8;.375;5;8;.625;3;3;6;5;0;1;2;36;27.7;1
30-034;35:51:00;6;17;.353;1;4;.250;5;6;.833;0;3;3;11;2;0;6;18;11.9;1
30-037;27:47:00;8;14;.571;1;2;.500;6;7;.857;0;3;3;9;1;0;2;23;22.2;1
30-038;38:34:00;10;21;.476;0;4;.000;5;8;.625;0;6;6;5;2;1;7;25;12.9;1
30-040;30:11:00;8;16;.500;2;7;.286;4;5;.800;2;8;10;8;1;0;6;22;17.2;1
30-043;31:27:00;6;16;.375;0;4;.000;6;7;.857;0;9;9;7;1;0;5;18;11.6;1
30-044;34:14:00;12;26;.462;2;9;.222;5;6;.833;0;5;5;4;0;0;8;31;12.3;1
30-052;25:07:00;12;21;.571;3;5;.600;1;3;.333;0;5;5;6;1;0;2;28;20.8;1
