mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;player
32:23:00;6;11;.545;2;4;.500;7;8;.875;1;7;8;8;0;1;0;21;1
42:57:00;10;25;.400;2;9;.222;5;5;1;2;7;9;6;0;1;3;27;1
39:10:00;9;17;.529;3;7;.429;4;4;1;1;8;9;3;2;1;4;25;1
43:08:00;10;14;.714;2;3;.667;8;11;.727;0;9;9;9;2;1;2;30;1
39:52:00;9;16;.563;0;4;.000;8;11;.727;3;9;12;9;0;1;3;26;1
40:08:00;9;19;.474;0;6;.000;4;4;1;0;9;9;10;4;2;3;22;1
42:57:00;8;19;.421;3;9;.333;4;7;.571;0;7;7;12;0;0;2;23;1
47:56:00;15;25;.600;4;7;.571;6;7;.857;2;8;10;9;2;0;1;40;1
40:45:00;10;16;.625;3;5;.600;4;5;.800;2;4;6;8;1;1;7;27;1
38:03:00;9;19;.474;3;6;.500;5;7;.714;0;8;8;12;2;2;2;26;1
42:09:00;12;20;.600;1;6;.167;1;2;.500;0;6;6;9;2;1;3;26;1
38:50:00;14;23;.609;0;2;.000;2;2;1;1;4;5;4;3;1;6;30;1
44:05:00;11;21;.524;3;7;.429;5;7;.714;1;8;9;11;4;0;1;30;1
36:15:00;8;18;.444;1;5;.200;2;2;1;1;4;5;3;2;3;4;19;1
39:37:00;8;19;.421;1;5;.200;4;4;1;3;8;11;7;1;1;2;21;1
41:10:00;13;21;.619;5;9;.556;7;10;.700;3;7;10;4;2;2;1;38;1
46:14:00;5;9;.556;2;4;.500;15;18;.833;3;9;12;8;3;3;3;27;1
40:27:00;9;21;.429;1;5;.200;3;6;.500;2;5;7;6;2;0;3;22;1
